Neighborhood,Community,ID,Neighborhood.Abbreviation,Labor.Force.Participation.Rate,Employment.Rate,Private.Employment.Rate,Government.Employment.Rate,Self.Employment.Rate,Median.Income,Poverty.Rate,Total.Persons,Male.Persons,Percent.Male.Persons,Female.Persons,Percent.Female.Persons,Age...24,Percent.Age...24,Age.25.to.44,Percent.Age.25.to.44,Age.45.to.64,Percent.Age.45.to.64,Age.65..,Percent.Age.65..,White,Percent.White,Black,Percent.Black,Latinx,Percent.Latinx,Asian,Percent.Asian,Other,Percent.Other,Total.Occupancy.Units,Occupied.Units,Percent.Occupied.Units,Vacant.Units,Percent.Vacant.Units,Other.Vacant.Units,Percent.Other.Vacant.Units,Total.Units.in.Structure,X1.Unit.Structure,Percent.1.Unit.Structure,X2.Unit.Structure,Percent.2.Unit.Structure,X3.to.19.Unit.Structure,Percent.3.to.19.Unit.Structure,X20.or.More.Unit.Structure,Percent.20.or.More.Unit.Structure,Built.2000.2015,Percent.Built.2000.2015,Built.1970.1999,Percent.Built.1970.1999,Built.1940.1969,Percent.Built.1940.1969,Built.Before.1940,Percent.Built.Before.1940,Owner.Tenure,Percent.Owner.Tenure,Renter.Tenure,Percent.Renter.Tenure,X0.Available.Vehicle,Percent.0.Available.Vehicle,X1.Available.Vehicle,Percent.1.Available.Vehicle,X2.orMore.Available.Vehicle,Percent.2.or.More.Available.Vehicle,Median.Value.for.Cost.Burdened.Owners,Total.Cost.Burdened.Owners,X30...Cost.Burdened.Owners,Share.Cost.Burdened.Owners,Median.Value.for.Rent.Burdened.Renters,Total.Rent.Burdened.Renters,X30...Rent.Burdened.Renters,Share.Rent.Burdened.Renters,Family.Households,Percent.Family.Households,Family.W.Children.Households,Percent.Family.W.Children.Households,Married.Family.W.Children.Households,Percent.Married.Family.W..Children.Households,Single.Person.Households,Percent.Single.Person.Households,Foreign.Born,Percent.Foreign.Born,X..High.School.Education,Percent...High.School.Education,High.School.Education,Percent.High.School.Education,Associates.Education,Percent.Associates.Education,Bachelors.Education,Percent.Bachelors.Education,Graduate.Education,Percent.Graduate.Education,Total.Households,Total.Family.Households.W..Children.Under.18,Percent.Family.Households.W..Children.Under.18,Total.Married.Couple.Households.W..Children.Under.18,Percent.Married.Couple.Households.W..Children.Under.18,Total.Female.Householder.W..Children.Under.18,Percent.Female.Householder.W..Children.Under.18,Total.Male.Householder.W..Children.Under.18,Percent.Male.Householder.W..Children.Under.18,Total.Family.Households.W.Out.Children.Under.18,Percent.Family.Households.W.Out.Children.Under.18,Total.Married.Couple.W.Out.Children.Under.18,Percent.Married.Couple.W.Out.Children.Under.18,Total.Female.Family.Householder.W.Out.Children.Under.18,Percent.Female.Family.Householder.W.Out.Children.Under.18,Total.Male.Family.Householder.W.Out.Children.Under.18,Percent.Male.Family.Householder.W.Out.Children.Under.18,Total.Non.Family.Households,Percent.Non.Family.Households,Total.Living.Alone,Percent.Living.Alone,Total.Not.Living.Alone,Percent.Not.Living.Alone,Total.Living.Alone.Senior,Percent.Living.Alone.Senior,Latitude,Longitude,New.Georeferenced.Column
ALBRIGHT,West,6,EBW,66.01,94.02,80.12,15.57,4.31,56150,18.24,15804,7405,46.86,8399,53.14,6500,41.13,4699,29.73,2948,18.65,1657,10.48,11039,69.85,2548,16.12,1066,6.75,699,4.42,452,2.86,7143,6170,86.38,973,13.62,689,9.65,7143,2000,28,2703,37.84,1712,23.97,728,10.19,76,1.06,322,4.51,787,11.02,5958,83.41,2601,42.16,3569,57.84,878,14.23,2869,46.5,2423,39.27,208378.4314,2572,523,20.33,826.3239075,3429,1423,41.5,2707,43.87,1150,18.64,668,10.83,2386,38.67,529.3925588,8.58,421.7669819,6.84,1612.794497,26.14,567.661221,9.2,1702.983663,27.6,1864.793637,30.22,6177,537,8.69,401,74.67,98,18.25,38,7.08,931,15.07,636,68.31,136,14.61,159,17.08,4709,76.23,3738,79.38,971,20.62,1103,23.42,42.9245109,-78.8745306,"(42.9245109, -78.8745306)"
ALLEN,West,5,AT,78.49,96.23,84.02,13.16,2.82,39060,28.84,3363,1840,54.71,1523,45.29,1031,30.66,1450,43.12,679,20.19,203,6.04,2582,76.78,260,7.73,292,8.68,74,2.2,155,4.61,2384,1888,79.19,496,20.81,266,11.16,2384,488,20.47,446,18.71,899,37.71,551,23.11,0,0,73,3.06,386,16.19,1925,80.75,557,29.5,1331,70.5,477,25.26,935,49.52,476,25.21,228000,557,78,14,762,1277,664,52,461,24.42,154,8.16,106,5.61,1119,59.27,114.5263158,6.07,127.9176672,6.78,594.2504288,31.48,165.1595197,8.75,446.0926244,23.63,554.5797599,29.37,1888,154,8.16,106,68.83,22,14.29,26,16.88,307,16.26,241,78.5,16,5.21,50,16.29,1427,75.58,1119,78.42,308,21.58,80,5.61,42.89855274,-78.87609162,"(42.89855274, -78.87609162)"
BABCOCK,South,31,SB,61.67,82.07,89.71,8.4,1.89,30290,25.86,2425,1174,48.41,1251,51.59,892,36.78,700,28.87,645,26.6,188,7.75,1942,80.08,40,1.65,346,14.27,0,0,97,4,1154,908,78.68,246,21.32,246,21.32,1154,495,42.89,533,46.19,126,10.92,0,0,0,0,27,2.34,127,11.01,1000,86.66,515,56.72,393,43.28,274,30.18,347,38.22,287,31.61,29800,515,58,11.26,649,393,206,52.42,631,69.49,325,35.79,126,13.88,194,21.37,6.739793814,0.74,177.6908023,19.57,611.2563601,67.32,76.40704501,8.41,40.27658187,4.44,2.369210698,0.26,908,325,35.79,126,38.77,142,43.69,57,17.54,306,33.7,199,65.03,95,31.05,12,3.92,277,30.51,194,70.04,83,29.96,61,22.02,42.87017635,-78.83237689,"(42.87017635, -78.83237689)"
BLACK ROCK,North,10,BR,32.84,87.6,72.89,27.11,0,24550,35.42,3978,2028,50.98,1950,49.02,1560,39.22,1141,28.68,868,21.82,409,10.28,1862,46.81,438,11.01,1349,33.91,185,4.65,144,3.62,1931,1679,86.95,252,13.05,174,9.01,1927,604,31.34,701,36.38,252,13.08,370,19.2,36,1.86,304,15.74,261,13.52,1330,68.88,510,30.38,1169,69.62,726,43.24,687,40.92,266,15.84,44400,491,77,15.68,586,1114,569,51.08,910,54.2,583,34.72,231,13.76,704,41.93,107.2061337,6.39,439.5397022,26.18,918.6588089,54.71,115.9607113,6.91,173.5938792,10.34,31.24689826,1.86,1679,583,34.72,231,39.62,326,55.92,26,4.46,327,19.48,216,66.06,46,14.07,65,19.88,769,45.8,704,91.55,65,8.45,209,27.18,42.93928419,-78.90182692,"(42.93928419, -78.90182692)"
BROADWAY FILLMORE,East,28,BF,51.9,79.11,78.53,15.79,5.67,18940,45.39,10285,4969,48.31,5316,51.69,3846,37.39,2605,25.33,2552,24.81,1282,12.46,1855,18.04,6270,60.96,282,2.74,1384,13.46,494,4.8,6217,4411,70.95,1806,29.05,1397,22.47,6212,2151,34.63,2722,43.82,901,14.5,438,7.05,113,1.82,799,12.85,1128,18.14,4177,67.19,1810,41.03,2601,58.97,1920,43.53,1691,38.34,800,18.14,33239.28177,1788,492,27.52,568.9556084,2397,1821,75.97,2149,48.72,1188,26.93,351,7.96,2113,47.9,601.2855615,13.63,1113.196925,25.24,2415.466066,54.76,386.3649635,8.76,324.71098,7.36,171.2610654,3.88,4411,1188,26.93,351,29.55,647,54.46,190,15.99,961,21.79,424,44.12,387,40.27,150,15.61,2262,51.28,2113,93.41,149,6.59,678,29.97,42.89030115,-78.83955811,"(42.89030115, -78.83955811)"
BRYANT,West,7,EBR,65.21,93.62,76.48,18.07,5.46,40520,23.95,10632,5604,52.71,5028,47.29,2321,21.83,4110,38.66,2355,22.15,1846,17.36,6775,63.72,1639,15.42,838,7.88,1034,9.73,346,3.25,7309,6177,84.51,1132,15.49,622,8.51,7273,1044,14.35,1119,15.39,2450,33.69,2660,36.57,62,0.85,849,11.62,1292,17.68,5106,69.86,1427,23.1,4750,76.9,1774,28.72,2846,46.07,1557,25.21,219902.6629,1416,173,12.22,752.7196322,4573,1999,43.71,1468,23.77,537,8.69,401,6.49,3738,60.51,787.2305305,12.74,749.1777163,12.13,1697.541571,27.48,412.4936831,6.68,1671.528456,27.06,1646.258573,26.65,6170,1150,18.64,668,58.09,360,31.3,122,10.61,1557,25.24,1132,72.7,318,20.42,107,6.87,3463,56.13,2386,68.9,1077,31.1,505,14.58,42.90956382,-78.87597799,"(42.90956382, -78.87597799)"
CAZENOVIA PARK,South,34,SC,58.59,87.63,82.61,15.1,2.29,38300,23.6,8522,4418,51.84,4104,48.16,2611,30.64,2636,30.93,2178,25.56,1097,12.87,7081,83.09,570,6.69,406,4.76,198,2.32,267,3.13,4146,3631,87.58,515,12.42,261,6.3,4146,1512,36.47,2149,51.83,293,7.07,192,4.63,73,1.76,159,3.84,1437,34.66,2477,59.74,1657,45.63,1974,54.37,840,23.13,1701,46.85,1090,30.02,70952.44418,1657,246,14.85,710.5043747,1877,1011,53.86,1915,52.74,848,23.35,344,9.47,1468,40.43,147.847571,4.07,622.2640839,17.14,2105.132296,57.98,344.6102182,9.49,431.8377601,11.89,127.155642,3.5,3631,848,23.35,344,40.57,352,41.51,152,17.92,1067,29.39,736,68.98,267,25.02,64,6,1716,47.26,1468,85.55,248,14.45,465,27.1,42.85693861,-78.80919518,"(42.85693861, -78.80919518)"
CBD,Central,1,CN,55.17,93.43,80.41,16.76,2.83,54390,19.52,3458,1928,55.75,1530,44.25,811,23.45,1328,38.4,858,24.81,461,13.33,1656,47.89,986,28.51,707,20.45,58,1.68,51,1.47,1957,1631,83.34,326,16.66,96,4.91,1953,203,10.39,61,3.12,318,16.28,1371,70.2,289,14.77,460,23.51,625,31.94,583,29.79,356,21.83,1275,78.17,270,16.55,879,53.89,482,29.55,372700,356,96,26.97,742.3132911,1264,369,29.19,663,40.65,259,15.88,72,4.41,761,46.66,174.51417,10.7,237.8413298,14.58,581.0476011,35.63,147.2644503,9.03,330.266717,20.25,334.5799018,20.51,1631,259,15.88,72,27.8,164,63.32,23,8.88,404,24.77,275,68.07,107,26.49,22,5.45,968,59.35,761,78.62,207,21.38,184,19.01,42.87596621,-78.87725,"(42.87596621, -78.87725)"
COLUMBUS,West,2,LWS,53.92,91.68,79.93,18.35,1.71,18340,46.55,6340,2712,42.78,3628,57.22,2428,38.3,1778,28.04,1487,23.45,647,10.21,1386,21.86,1454,22.93,3220,50.79,27,0.43,253,3.99,3276,2899,88.49,377,11.51,307,9.37,3254,628,19.3,1034,31.78,833,25.6,759,23.33,339,10.35,754,23.02,636,19.41,1547,47.22,561,19.35,2338,80.65,1371,47.29,1017,35.08,511,17.63,128305.3476,554,127,22.92,592.3890591,2247,1416,63.02,1463,50.47,1021,35.22,251,8.66,1225,42.26,192.0473186,6.62,781.0700409,26.94,1348.716769,46.52,277.8949387,9.59,286.7875767,9.89,204.5306748,7.06,2899,1021,35.22,251,24.58,751,73.56,19,1.86,442,15.25,148,33.48,218,49.32,76,17.19,1436,49.53,1225,85.31,211,14.69,332,23.12,42.89269228,-78.88538022,"(42.89269228, -78.88538022)"
DELAWARE PARK,North,8,PS,70.61,95.67,81.78,15.63,2.59,54000,14.03,8378,3981,47.52,4397,52.48,2798,33.4,2275,27.15,2263,27.01,1042,12.44,6142,73.31,1272,15.18,463,5.53,263,3.14,238,2.84,4077,3589,88.03,488,11.97,308,7.55,4077,1483,36.37,1229,30.14,807,19.79,558,13.69,28,0.69,287,7.04,976,23.94,2786,68.33,1769,49.29,1820,50.71,654,18.22,1573,43.83,1362,37.95,224601.0741,1760,351,19.94,753.4417693,1718,725,42.2,1704,47.48,821,22.88,581,16.19,1495,41.66,252.7464789,7.04,216.111828,6.02,1152.596416,32.11,263.0646953,7.33,903.0387097,25.16,1054.188351,29.37,3589,821,22.88,581,70.77,184,22.41,56,6.82,883,24.6,674,76.33,159,18.01,50,5.66,1885,52.52,1495,79.31,390,20.69,269,14.27,42.9366575,-78.86002662,"(42.9366575, -78.86002662)"
